question,answer,category
Apa itu Kerja Praktik?,Kerja Praktik adalah mata kuliah wajib Universitas Telkom yang bertujuan menghubungkan pengetahuan teoritis mahasiswa dengan pengalaman praktik di dunia kerja.,KP
Apakah Kerja Praktik wajib bagi mahasiswa?,Ya Kerja Praktik wajib dilaksanakan oleh seluruh mahasiswa sesuai ketentuan program studi.,KP
Apa tujuan utama Kerja Praktik?,Memberikan pengalaman praktik yang relevan dengan kompetensi program studi.,KP
Apa manfaat Kerja Praktik bagi mahasiswa?,Mahasiswa memperoleh pengalaman kerja nyata dan memahami lingkungan profesional.,KP
Apa kompetensi yang diharapkan setelah Kerja Praktik?,Mahasiswa memahami pekerjaan lapangan dan mampu memberikan solusi terhadap permasalahan yang ditemukan.,KP
Berapa minimal SKS untuk mengikuti Kerja Praktik?,Mahasiswa harus telah menempuh minimal 90 SKS.,Persyaratan KP
Berapa IPK minimal untuk mengikuti Kerja Praktik?,Mahasiswa harus memiliki IPK minimal 2.00.,Persyaratan KP
Apakah Kerja Praktik dapat dilakukan secara individu?,Ya Kerja Praktik dapat dilakukan secara individu.,Persyaratan KP
Apakah Kerja Praktik dapat dilakukan secara kelompok?,Ya Kerja Praktik dapat dilakukan secara kelompok.,Persyaratan KP
Berapa jumlah anggota kelompok Kerja Praktik?,Kelompok terdiri dari 1 sampai 3 mahasiswa.,Persyaratan KP
Siapa yang menjadi ketua kelompok KP?,Salah satu anggota kelompok ditunjuk sebagai ketua kelompok.,Persyaratan KP
Berapa lama durasi minimal Kerja Praktik?,Kerja Praktik dilaksanakan minimal selama 6 minggu.,Pelaksanaan KP
Kapan Kerja Praktik dapat dilaksanakan?,Dapat dilaksanakan saat masa perkuliahan maupun masa libur semester.,Pelaksanaan KP
Apakah mahasiswa wajib mengambil mata kuliah KP di KRS?,Ya mahasiswa wajib mengambil mata kuliah Kerja Praktik sesuai ketentuan akademik.,Administrasi KP
Apa yang dimaksud aktivitas berbatas waktu?,Mahasiswa bekerja penuh waktu mengikuti aktivitas harian perusahaan selama periode KP.,Pelaksanaan KP
Apa yang dimaksud aktivitas berbatas proyek?,Mahasiswa menyelesaikan proyek tertentu tanpa harus hadir setiap hari di perusahaan.,Pelaksanaan KP
Siapa Komite Kerja Praktik?,Dosen yang ditunjuk untuk membantu pengelolaan seluruh kegiatan Kerja Praktik.,Pembimbing
Apa tugas Komite Kerja Praktik?,Mengelola administrasi sosialisasi arsip dan penilaian Kerja Praktik.,Pembimbing
Siapa Dosen Pembimbing Akademik?,Dosen wali atau dosen yang ditugaskan membimbing mahasiswa selama Kerja Praktik.,Pembimbing
Apa tugas Dosen Pembimbing Akademik?,Membimbing mahasiswa dalam pelaksanaan KP dan penyusunan laporan.,Pembimbing
Siapa Pembimbing Lapangan?,Pegawai perusahaan yang ditunjuk untuk membimbing mahasiswa selama KP.,Pembimbing
Apa tugas Pembimbing Lapangan?,Memberikan arahan pekerjaan dan menilai hasil Kerja Praktik mahasiswa.,Pembimbing
Apa langkah pertama sebelum mengajukan KP?,Mencari instansi tujuan dan berkonsultasi dengan dosen pembimbing akademik.,Pengajuan KP
Apakah proposal KP wajib dibuat?,Ya proposal Kerja Praktik wajib disusun sebelum pengajuan ke instansi.,Proposal KP

Siapa yang menandatangani proposal KP?,Dosen Pembimbing Akademik dan Kepala Program Studi.,Proposal KP
Berapa kali proposal KP dapat diajukan dalam waktu bersamaan?,Hanya satu proposal yang dapat diajukan dalam satu waktu.,Proposal KP
Kapan mahasiswa dapat mengajukan proposal baru?,Jika ditolak perusahaan atau tidak ada balasan selama minimal tiga minggu.,Proposal KP
Apa saja dokumen yang harus dilampirkan saat pengajuan KP?,Mahasiswa harus melampirkan proposal Kerja Praktik dan Rencana Studi serta Nilai.,Administrasi KP
Melalui media apa pengajuan permohonan KP dilakukan?,Pengajuan dilakukan melalui formulir yang telah disediakan oleh universitas.,Administrasi KP
Apa tujuan penyusunan proposal KP?,Sebagai gambaran rencana kegiatan dan ruang lingkup pekerjaan yang akan dilakukan.,Proposal KP
Mengapa mahasiswa perlu berkonsultasi dengan dosen sebelum KP?,Agar topik dan ruang lingkup pekerjaan sesuai dengan kompetensi program studi.,Pengajuan KP
Apa yang harus dilakukan setelah mendapatkan surat pengantar KP?,Mahasiswa mengirimkan surat pengantar dan proposal ke perusahaan atau instansi tujuan.,Pengajuan KP
Apa yang terjadi jika perusahaan menerima pengajuan KP?,Mahasiswa dapat melaksanakan Kerja Praktik sesuai jadwal yang telah disepakati.,Pelaksanaan KP
Apa tujuan pelaporan Kerja Praktik?,Mendokumentasikan aktivitas hasil pekerjaan dan pembelajaran selama KP.,Laporan KP
Apakah hasil KP wajib dipresentasikan?,Ya hasil Kerja Praktik wajib dipresentasikan sesuai ketentuan program studi.,Presentasi KP
Apa manfaat presentasi hasil KP?,Menunjukkan pemahaman mahasiswa terhadap pekerjaan dan hasil yang dicapai.,Presentasi KP
Apa yang harus ada dalam laporan akhir KP?,Laporan harus memuat kegiatan hasil pekerjaan analisis dan kesimpulan.,Laporan KP
Mengapa laporan akhir KP penting?,Sebagai bukti pelaksanaan dan evaluasi kegiatan Kerja Praktik.,Laporan KP
Siapa yang memberikan persetujuan laporan akhir KP?,Pembimbing Akademik dan Pembimbing Lapangan sesuai ketentuan yang berlaku.,Laporan KP
Apa yang dinilai dalam Kerja Praktik?,Pelaksanaan pekerjaan laporan akhir dan presentasi hasil KP.,Penilaian KP
Apakah terdapat penalti dalam Kerja Praktik?,Ya penalti dapat diberikan jika mahasiswa melanggar ketentuan yang berlaku.,Penilaian KP
Apa tujuan hubungan dengan perusahaan tempat KP?,Membangun kerja sama dan peluang pengembangan akademik di masa depan.,KP
Apa manfaat KP bagi perusahaan?,Perusahaan memperoleh kontribusi mahasiswa dalam menyelesaikan pekerjaan atau proyek tertentu.,KP
Apa yang dimaksud ruang lingkup KP?,Jenis pekerjaan atau aktivitas yang dilakukan mahasiswa selama Kerja Praktik.,KP
Apakah ruang lingkup KP harus sesuai program studi?,Ya pekerjaan yang dilakukan harus relevan dengan kompetensi program studi.,KP
Apakah mahasiswa dapat mengusulkan proyek KP sendiri?,Ya mahasiswa dapat mengusulkan proyek yang disetujui perusahaan dan pembimbing.,KP
Apa yang dimaksud hasil kerja nyata dalam KP?,Output yang memberikan manfaat nyata bagi perusahaan atau instansi.,KP
Contoh hasil kerja nyata dalam KP apa saja?,Analisis masalah rekomendasi solusi produk atau perangkat lunak.,KP
Apa soft skill yang dikembangkan melalui KP?,Komunikasi kerja sama tim kepemimpinan dan problem solving.,Manfaat KP
Apa hard skill yang dikembangkan melalui KP?,Kemampuan teknis sesuai bidang keilmuan program studi.,Manfaat KP
Mengapa KP penting sebelum lulus?,Karena memberikan pengalaman profesional sebelum memasuki dunia kerja.,Manfaat KP
Apa peran KP dalam pengembangan karier mahasiswa?,Membantu mahasiswa memahami kebutuhan dan budaya kerja industri.,Manfaat KP
Bagaimana KP membantu mahasiswa memahami dunia kerja?,Mahasiswa berinteraksi langsung dengan lingkungan kerja profesional.,Manfaat KP
Apakah KP dapat menjadi dasar Tugas Akhir?,Ya pengalaman dan data dari KP dapat menjadi inspirasi atau objek Tugas Akhir.,KP
Apa yang harus dilakukan mahasiswa selama KP?,Melaksanakan tugas yang diberikan dan menjaga profesionalisme.,Pelaksanaan KP
Mengapa mahasiswa harus memahami masalah di tempat KP?,Agar mampu memberikan solusi yang relevan berdasarkan ilmu yang dipelajari.,Pelaksanaan KP
Apa tujuan menghubungkan teori dan praktik dalam KP?,Agar mahasiswa dapat menerapkan pengetahuan akademik pada situasi nyata.,KP
